X,Buy/Neutral/Sell,tweets,replies,retweets,favs,user,timeStamp,new_tweets,new_dts,assigned_member,coinMentioned,termsMentioned
17,0,"If you have the <a href=""https://t.co/WLJYQmRqOK"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://ERISTICA.COM"" class=""twitter-timeline-link"" target=""_blank"" title=""http://ERISTICA.COM""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ERISTICA.COM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> app, whether or not you invested in their ICO, I challenge you make your own video (trashing me if you like) to the music of the Coin Brother's ""McAfee Effect"". Entries judged and the winner will receive one Bitcoin.<a href=""https://t.co/ByCjGsSNBy"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://www.youtube.com/watch?v=WV-vdI2CzMc&amp;sns=em"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://www.youtube.com/watch?v=WV-vdI2CzMc&amp;sns=em""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">youtube.com/watch?v=WV-vdI</span><span class=""invisible"">2CzMc&amp;sns=em</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>",156,142,483,officialmcafee,2018-01-31 07:23:00,if you have the app whether or not you invested in their ico i challenge you make your own video trashing me if you like to the music of the coin brother's mcafee effect entries judged and the winner will receive one bitcoin,1517354580,daryl,TRUE,FALSE
18,0,"For those who claim that I recommend shitcoins, the following chart compares the performance of every coin I have recommended to the performance of Bitcoin, up to today's date. My recommendations outperformed Bitcoin by from 47% to 245%. These coins are as solid as they come.<a href=""https://t.co/oanF4lxu1W"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/oanF4lxu1W</a>",921,578,2900,officialmcafee,2018-01-31 06:39:00,for those who claim that i recommend shitcoins the following chart compares the performance of every coin i have recommended to the performance of bitcoin up to today's date my recommendations outperformed bitcoin by from to these coins are as solid as they come,1517351940,daryl,TRUE,TRUE
19,1,"The Coin Brothers (Buy the F-cking Dip) latest video - ""The McAfee Effect"":<a href=""https://t.co/aoFfxgslI0"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://youtu.be/WV-vdI2CzMc"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://youtu.be/WV-vdI2CzMc""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/WV-vdI2CzMc</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>",350,278,1100,officialmcafee,2018-01-30 21:57:00,the coin brothers buy the fcking dip latest video the mcafee effect,1517320620,daryl,FALSE,TRUE
20,0,"NIMBUS (<a href=""https://t.co/6xV14Yat5I"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://nimbustoken.com"" class=""twitter-timeline-link"" target=""_blank"" title=""http://nimbustoken.com""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">nimbustoken.com</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>) was an ICO that we recommended two weeks ago. They have now signed a $100 million contract with Comp Air Aviation: <a href=""https://t.co/shXIw8qB4U"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://compairaviation.com/1-26-2018.htm"" class=""twitter-timeline-link"" target=""_blank"" title=""http://compairaviation.com/1-26-2018.htm""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">compairaviation.com/1-26-2018.htm</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>. This certainly helps legitimize the value of their ICO.",247,162,782,officialmcafee,2018-01-30 13:59:00,nimbus was an ico that we recommended two weeks ago they have now signed a million contract with comp air aviation this certainly helps legitimize the value of their ico,1517291940,daryl,FALSE,TRUE
25,0,"Since everyone wants to buy a coin at the coin's lowest price (usually the coin's ICO price), ICOs have become extremely competitive. With all the options in the field it's difficult to get recognition.",114,34,214,officialmcafee,2018-01-29 17:01:00,since everyone wants to buy a coin at the coin's lowest price usually the coin's ico price icos have become extremely competitive with all the options in the field it's difficult to get recognition,1517216460,daryl,TRUE,TRUE
27,0,"A fascinating ICO - <a href=""https://t.co/WLJYQmRqOK"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://ERISTICA.COM"" class=""twitter-timeline-link"" target=""_blank"" title=""http://ERISTICA.COM""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ERISTICA.COM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>. Combines social media with physical action. They already have 1.2 million users. A combination of MTV, Jackass and viral videos, it allows users to challenge each other to perform any act. Our rating:

<a href=""https://t.co/44GQ95Ahcw"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://cryptocoinconnection.com/eristica-audit.pdf"" class=""twitter-timeline-link"" target=""_blank"" title=""http://cryptocoinconnection.com/eristica-audit.pdf""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cryptocoinconnection.com/eristica-audit</span><span class=""invisible"">.pdf</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>?amp=1",358,177,732,officialmcafee,2018-01-29 11:52:00,a fascinating ico combines social media with physical action they already have million users a combination of mtv jackass and viral videos it allows users to challenge each other to perform any act our ratingamp,1517197920,daryl,TRUE,TRUE
28,0,"Fixed it, follow me:
<a href=""/SorryNoKYjelly"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""22165970""><s>@</s><b>SorryNoKYjelly</b></a> has created a site listing all of the McAfee imposters that have been identified. These imposters have done things from predicting a $15 price for Verge to offering to sell the coin of the week before it's announced.<a href=""https://t.co/zVtMwx7b9c"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://www.mcafeeimposters.com"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""http://www.mcafeeimposters.com""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">mcafeeimposters.com</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>",24,24,81,officialmcafee,2018-01-29 03:12:00,fixed it follow me has created a site listing all of the mcafee imposters that have been identified these imposters have done things from predicting a price for verge to offering to sell the coin of the week before it's announced,1517166720,daryl,TRUE,TRUE
30,0,"A follower -  @SorryNoKYjelly has created a site listing all of the McAfee imposters that have been identified. These imposters have done things from predicting a $15 price for Verge to offering to sell the coin of the week before it's announced.
Https//www.mcafeeimposters.com",248,173,787,officialmcafee,2018-01-29 03:09:00,a follower sorrynokyjelly has created a site listing all of the mcafee imposters that have been identified these imposters have done things from predicting a price for verge to offering to sell the coin of the week before it's announcedhttpswwwmcafeeimposterscom,1517166540,daryl,TRUE,TRUE
31,0,"Sunday family tweet. Marriage under normal circumstances is difficult. With our issues it is a challenge of high proportions. My wife Janice and I are choosing to weather the storm together and choosing to fight for our relationship.<a href=""https://t.co/36A9Qx4ZFF"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/36A9Qx4ZFF</a>",619,179,3100,officialmcafee,2018-01-28 12:45:00,sunday family tweet marriage under normal circumstances is difficult with our issues it is a challenge of high proportions my wife janice and i are choosing to weather the storm together and choosing to fight for our relationship,1517114700,daryl,TRUE,FALSE
33,0,Coin of the week: RIPIO Coin Network (RCN). RIPIO HAS BEEN widely accepted in Latin America as an alternative to traditional lending. It network uses smart contracts to redefine the role of the co-signer and the means if risk assessment to lower the cost per premium. A great coin,506,464,1500,officialmcafee,2018-01-28 11:35:00,coin of the week ripio coin network rcn ripio has been widely accepted in latin america as an alternative to traditional lending it network uses smart contracts to redefine the role of the cosigner and the means if risk assessment to lower the cost per premium a great coin,1517110500,daryl,FALSE,TRUE
34,0,"I let my followers down. My team audits tons of ICOs. Most are cons, scams, frauds etc. From fear of reprisals I say nothing. I have been a coward. But starting today I am posting the ""Dubious ICO of the Week"" with our full audit. First is Static:

<a href=""https://t.co/5oXP0lEli7"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://cryptocoinconnection.com/static-audit.pdf"" class=""twitter-timeline-link"" target=""_blank"" title=""http://cryptocoinconnection.com/static-audit.pdf""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cryptocoinconnection.com/static-audit.p</span><span class=""invisible"">df</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>?amp=1",1600,909,4200,officialmcafee,2018-01-28 02:39:00,i let my followers down my team audits tons of icos most are cons scams frauds etc from fear of reprisals i say nothing i have been a coward but starting today i am posting the dubious ico of the week with our full audit first is staticamp,1517078340,daryl,TRUE,TRUE
36,0,"Yeah great to see <a href=""/InsurePal_io"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""934369092542390272""><s>@</s><b>InsurePal_io</b></a> project token <a href=""/search?q=%24IPL&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>IPL</b></a> on <a href=""/hitbtc"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""1364642054""><s>@</s><b>hitbtc</b></a> and <a href=""/livecoin_net"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""3166788883""><s>@</s><b>livecoin_net</b></a> exchange! Who is next? <a href=""/binance_2017"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""877807935493033984""><s>@</s><b>binance_2017</b></a> <a href=""/BittrexExchange"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""2309637680""><s>@</s><b>BittrexExchange</b></a> <a href=""/krakenfx"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""1399148563""><s>@</s><b>krakenfx</b></a> <a href=""/bitfinex"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""886832413""><s>@</s><b>bitfinex</b></a> <a href=""/OKEx_"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""867617849208037377""><s>@</s><b>OKEx_</b></a> <a href=""/kucoincom"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""910110294625492992""><s>@</s><b>kucoincom</b></a> ? <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f44d-1f3fc.png"" draggable=""false"" alt=""👍🏼"" title=""Thumbs up sign (medium light skin tone)"" aria-label=""Emoji: Thumbs up sign (medium light skin tone)""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f61c.png"" draggable=""false"" alt=""😜"" title=""Face with stuck-out tongue and winking eye"" aria-label=""Emoji: Face with stuck-out tongue and winking eye""><a href=""https://t.co/dtAPpEk7vP"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://twitter.com/insurepal_io/status/957010832482762754"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://twitter.com/insurepal_io/status/957010832482762754""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/insurepal_io/s</span><span class=""invisible"">tatus/957010832482762754</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>",70,46,168,officialmcafee,2018-01-26 14:14:00,yeah great to see project token on and exchange who is next,1516947240,daryl,FALSE,TRUE
43,1,"Yeah <a href=""/InsurePal_io"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""934369092542390272""><s>@</s><b>InsurePal_io</b></a> will be huge! <a href=""/officialmcafee"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""961445378""><s>@</s><b>officialmcafee</b></a> know that ! Stock <a href=""/search?q=%24IPL&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>IPL</b></a> on <a href=""/livecoin_net"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""3166788883""><s>@</s><b>livecoin_net</b></a>  now before token price explode <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f44d-1f3fc.png"" draggable=""false"" alt=""👍🏼"" title=""Thumbs up sign (medium light skin tone)"" aria-label=""Emoji: Thumbs up sign (medium light skin tone)""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f680.png"" draggable=""false"" alt=""🚀"" title=""Rocket"" aria-label=""Emoji: Rocket""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f680.png"" draggable=""false"" alt=""🚀"" title=""Rocket"" aria-label=""Emoji: Rocket""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f680.png"" draggable=""false"" alt=""🚀"" title=""Rocket"" aria-label=""Emoji: Rocket""><a href=""https://t.co/kI9sPneqDH"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://twitter.com/cryptotraderpro/status/956264208353476608"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://twitter.com/cryptotraderpro/status/956264208353476608""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/cryptotraderpr</span><span class=""invisible"">o/status/956264208353476608</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>",94,55,180,officialmcafee,2018-01-25 04:36:00,yeah will be huge know that stock on now before token price explode,1516826160,daryl,FALSE,TRUE
44,0,"Incredible Satire Music Video - ""Bitcoin Is A Bubble"";<a href=""https://t.co/8Bb0AY2Bik"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://youtu.be/KTf5j9LDObk"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://youtu.be/KTf5j9LDObk""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/KTf5j9LDObk</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>",322,203,863,officialmcafee,2018-01-24 22:08:00,incredible satire music video bitcoin is a bubble,1516802880,daryl,TRUE,FALSE
45,0,"Let's take a break from worrying about the market, prices, the Dip, our personal favorite coin - which, if you believe angry posts - we are willing to commit crimes of passion for, and laugh a little.  Hugely funny:<a href=""https://t.co/rgGSdNpJ7k"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://youtu.be/dyA9-jJhlCo"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://youtu.be/dyA9-jJhlCo""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/dyA9-jJhlCo</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>",473,308,1600,officialmcafee,2018-01-24 18:06:00,let's take a break from worrying about the market prices the dip our personal favorite coin which if you believe angry posts we are willing to commit crimes of passion for and laugh a little hugely funny,1516788360,daryl,FALSE,TRUE
47,0,"Dome ask why I chose the  PODONE ICO  (<a href=""https://t.co/e2wLGVfqNP"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://podone.io"" class=""twitter-timeline-link"" target=""_blank"" title=""https://podone.io""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">podone.io</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>) instead of one of their picks. For me, it was the potential value of the coin. Employee idle time costs $100 billion per year in the U.S. alone. Solving even a small fraction if this problem could make Podone a giant",372,198,763,officialmcafee,2018-01-24 10:07:00,dome ask why i chose the podone ico instead of one of their picks for me it was the potential value of the coin employee idle time costs billion per year in the us alone solving even a small fraction if this problem could make podone a giant,1516759620,daryl,TRUE,TRUE
49,1,"Again - ""Buy the f-cking dip"". It will rebound the market. Oh, I'm also obligated to promote Substratum (SUB) and Insurepal (ipl) today. So I just did. Which I would do without the obligation. I helped both. So you know they're good. Watch and rebound:<a href=""https://t.co/L2BOajm0YM"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://youtu.be/l4v8rLEI4Pg"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://youtu.be/l4v8rLEI4Pg""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/l4v8rLEI4Pg</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>",519,499,1900,officialmcafee,2018-01-23 20:34:00,again buy the fcking dip it will rebound the market oh i'm also obligated to promote substratum sub and insurepal ipl today so i just did which i would do without the obligation i helped both so you know they're good watch and rebound,1516710840,daryl,FALSE,TRUE
